date,total_articles,bullish_index,dominant_sentiment
2021-03-18,42,0.5833333333333334,neutral
2021-03-19,68,0.625,positive
2021-03-22,32,0.765625,positive
2021-03-23,35,0.6714285714285714,positive
2021-03-24,40,0.625,positive
2021-03-25,39,0.6025641025641025,positive
2021-03-26,58,0.6379310344827587,positive
2021-03-29,33,0.5606060606060606,neutral
2021-03-30,40,0.6625,positive
2021-03-31,37,0.6081081081081081,positive
2021-04-01,43,0.6627906976744186,neutral
2021-04-02,66,0.6439393939393939,neutral
2021-04-05,47,0.6808510638297872,neutral
2021-04-06,49,0.5714285714285714,neutral
2021-04-07,37,0.581081081081081,neutral
2021-04-08,54,0.5833333333333334,positive
2021-04-09,68,0.5367647058823529,neutral
2021-04-12,50,0.64,neutral
2021-04-13,35,0.5714285714285714,positive
2021-04-14,42,0.6904761904761905,positive
2021-04-15,47,0.6914893617021277,positive
2021-04-16,62,0.6048387096774194,neutral
2021-04-19,41,0.7073170731707317,neutral
2021-04-20,38,0.6710526315789473,neutral
2021-04-21,23,0.5652173913043478,neutral
2021-04-22,43,0.627906976744186,neutral
2021-04-23,64,0.6015625,neutral
2021-04-26,40,0.625,positive
2021-04-27,36,0.625,neutral
2021-04-28,36,0.5972222222222222,neutral
2021-04-29,31,0.5645161290322581,neutral
2021-04-30,35,0.5571428571428572,neutral
2021-05-03,16,0.5,neutral
2021-05-04,38,0.5263157894736842,neutral
2021-05-05,27,0.6111111111111112,neutral
2021-05-06,44,0.6136363636363636,positive
2021-05-07,54,0.6481481481481481,positive
2021-05-10,49,0.6530612244897959,neutral
2021-05-11,37,0.6891891891891891,positive
2021-05-12,45,0.6,positive
2021-05-13,43,0.5813953488372093,neutral
2021-05-14,61,0.6147540983606558,positive
2021-05-17,38,0.7368421052631579,positive
2021-05-18,35,0.7,positive
2021-05-19,44,0.7159090909090909,positive
2021-05-20,37,0.6621621621621622,neutral
2021-05-21,65,0.6538461538461539,positive
2021-05-24,42,0.6666666666666666,neutral
2021-05-25,38,0.6710526315789473,positive
2021-05-26,33,0.6818181818181818,positive
2021-05-27,38,0.5921052631578947,positive
2021-05-28,57,0.6666666666666666,neutral
2021-05-31,36,0.6944444444444444,neutral
2021-06-01,46,0.6847826086956522,positive
2021-06-02,45,0.6333333333333333,neutral
2021-06-03,38,0.6447368421052632,positive
2021-06-04,75,0.6,neutral
2021-06-07,52,0.7692307692307693,positive
2021-06-08,50,0.6,positive
2021-06-09,50,0.66,positive
2021-06-10,52,0.6538461538461539,positive
2021-06-11,72,0.5972222222222222,neutral
2021-06-14,37,0.6081081081081081,neutral
2021-06-15,38,0.7236842105263158,positive
2021-06-16,45,0.7666666666666667,positive
2021-06-17,42,0.7261904761904762,positive
2021-06-18,64,0.6015625,neutral
2021-06-21,40,0.7375,positive
2021-06-22,48,0.7604166666666666,positive
2021-06-23,47,0.6595744680851063,positive
2021-06-24,50,0.58,positive
2021-06-25,78,0.7243589743589743,positive
2021-06-28,41,0.7317073170731707,positive
2021-06-29,50,0.61,neutral
2021-06-30,39,0.5897435897435898,neutral
2021-07-01,48,0.65625,positive
2021-07-02,76,0.625,positive
2021-07-05,47,0.6914893617021277,positive
2021-07-06,57,0.5701754385964912,positive
2021-07-07,50,0.65,positive
2021-07-08,51,0.7058823529411765,positive
2021-07-09,74,0.6621621621621622,positive
2021-07-12,48,0.7083333333333334,positive
2021-07-13,41,0.6707317073170732,positive
2021-07-14,48,0.59375,positive
2021-07-15,50,0.6,neutral
2021-07-16,79,0.5949367088607594,neutral
2021-07-19,49,0.5510204081632653,neutral
2021-07-20,62,0.5645161290322581,neutral
2021-07-21,52,0.5865384615384616,neutral
2021-07-22,51,0.6470588235294118,neutral
2021-07-23,38,0.5,neutral
2021-07-26,25,0.6,positive
2021-07-27,30,0.6166666666666667,neutral
2021-07-28,34,0.5294117647058824,neutral
2021-07-29,30,0.6,neutral
2021-07-30,86,0.5348837209302325,neutral
2021-08-02,36,0.5972222222222222,neutral
2021-08-03,22,0.5681818181818182,neutral
2021-08-04,26,0.5769230769230769,neutral
2021-08-05,22,0.5909090909090909,neutral
2021-08-06,36,0.625,positive
2021-08-09,20,0.7,positive
2021-08-10,23,0.5,neutral
2021-08-11,29,0.6896551724137931,positive
2021-08-12,28,0.6071428571428571,positive
2021-08-13,41,0.6097560975609756,positive
2021-08-16,15,0.5666666666666667,neutral
2021-08-17,31,0.7096774193548387,neutral
2021-08-18,19,0.7368421052631579,positive
2021-08-19,19,0.631578947368421,positive
2021-08-20,49,0.6632653061224489,positive
2021-08-23,27,0.7777777777777778,positive
2021-08-24,27,0.7407407407407407,positive
2021-08-25,17,0.7647058823529411,positive
2021-08-26,21,0.7619047619047619,positive
2021-08-27,40,0.7375,positive
